,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,kZ1yTx3VZlHqmic_SqboNg,pj-o-briens-irish-pub-melbourne,PJ O'Brien's Irish Pub,https://s3-media1.fl.yelpcdn.com/bphoto/Ca45wnn74TbfQFYgeoKB-g/o.jpg,False,https://www.yelp.com/biz/pj-o-briens-irish-pub-melbourne?adjust_creative=SgvF6h_HqqoQUidgQLS9Tg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SgvF6h_HqqoQUidgQLS9Tg,18,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}]",4.0,"{'latitude': -37.820282, 'longitude': 144.965993}",[],$$,"{'address1': 'Shop 14', 'address2': '3 Southgate Ave', 'address3': None, 'city': 'Melbourne', 'zip_code': '3006', 'country': 'AU', 'state': 'VIC', 'display_address': ['Shop 14', '3 Southgate Ave', 'Melbourne Victoria 3006', 'Australia']}",+61396865011,+61 3 9686 5011,292.7577462606009
1,ZFD8Ej3fqoZQTzALerX2eg,middle-park-hotel-middle-park,Middle Park Hotel,https://s3-media1.fl.yelpcdn.com/bphoto/ocn5eP3Vdy67n65evL4kjw/o.jpg,False,https://www.yelp.com/biz/middle-park-hotel-middle-park?adjust_creative=SgvF6h_HqqoQUidgQLS9Tg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SgvF6h_HqqoQUidgQLS9Tg,10,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': -37.849857, 'longitude': 144.965016}",[],$$,"{'address1': '102 Canterbury Rd', 'address2': '', 'address3': '', 'city': 'Middle Park', 'zip_code': '3206', 'country': 'AU', 'state': 'VIC', 'display_address': ['102 Canterbury Rd', 'Middle Park Victoria 3206', 'Australia']}",+61398100079,+61 3 9810 0079,3562.011764329985
2,_DjwRZfrvM0WaZrDaMQL6A,the-bridge-hotel-richmond,The Bridge Hotel,https://s3-media2.fl.yelpcdn.com/bphoto/oIF7yhPy8Zcpk_wo1aBfAg/o.jpg,False,https://www.yelp.com/biz/the-bridge-hotel-richmond?adjust_creative=SgvF6h_HqqoQUidgQLS9Tg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SgvF6h_HqqoQUidgQLS9Tg,22,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'pubfood', 'title': 'Pub Food'}]",4.0,"{'latitude': -37.820153, 'longitude': 145.013355}",[],$$,"{'address1': '642 Bridge Rd', 'address2': None, 'address3': None, 'city': 'Richmond', 'zip_code': '3121', 'country': 'AU', 'state': 'VIC', 'display_address': ['642 Bridge Rd', 'Richmond Victoria 3121', 'Australia']}",+61394295734,+61 3 9429 5734,4049.2690197801426
3,1Zvnz4AutZidQGaD1ZTelQ,the-mill-house-melbourne,The Mill House,https://s3-media1.fl.yelpcdn.com/bphoto/MLGDavlY5LImXKEDLVlwmQ/o.jpg,False,https://www.yelp.com/biz/the-mill-house-melbourne?adjust_creative=SgvF6h_HqqoQUidgQLS9Tg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SgvF6h_HqqoQUidgQLS9Tg,19,"[{'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': -37.81707, 'longitude': 144.965232}",[],$$,"{'address1': '277-279 Flinders Lane', 'address2': '', 'address3': '', 'city': 'Melbourne', 'zip_code': '3000', 'country': 'AU', 'state': 'VIC', 'display_address': ['277-279 Flinders Lane', 'Melbourne Victoria 3000', 'Australia']}",+61396624002,+61 3 9662 4002,206.2028400773311
4,AYobApLVDHq8dkj7HpjgVg,arbory-bar-and-eatery-melbourne,Arbory Bar & Eatery,https://s3-media2.fl.yelpcdn.com/bphoto/YWKDazl1rfli1887Wv2pEg/o.jpg,False,https://www.yelp.com/biz/arbory-bar-and-eatery-melbourne?adjust_creative=SgvF6h_HqqoQUidgQLS9Tg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SgvF6h_HqqoQUidgQLS9Tg,46,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'modern_australian', 'title': 'Modern Australian'}]",4.0,"{'latitude': -37.819044, 'longitude': 144.966598}",[],$$,"{'address1': '2 Flinders Walk', 'address2': '', 'address3': '', 'city': 'Melbourne', 'zip_code': '3000', 'country': 'AU', 'state': 'VIC', 'display_address': ['2 Flinders Walk', 'Melbourne Victoria 3000', 'Australia']}",+61396140023,+61 3 9614 0023,145.5637636191314
5,adB4smCUuD1pltZrGLsImw,the-wharf-hotel-melbourne-2,The Wharf Hotel,,False,https://www.yelp.com/biz/the-wharf-hotel-melbourne-2?adjust_creative=SgvF6h_HqqoQUidgQLS9Tg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SgvF6h_HqqoQUidgQLS9Tg,2,"[{'alias': 'pubfood', 'title': 'Pub Food'}, {'alias': 'pubs', 'title': 'Pubs'}]",4.5,"{'latitude': -37.822915, 'longitude': 144.954438}",[],,"{'address1': '18-38 Siddeley St', 'address2': '', 'address3': '', 'city': 'Melbourne', 'zip_code': '3008', 'country': 'AU', 'state': 'VIC', 'display_address': ['18-38 Siddeley St', 'Melbourne Victoria 3008', 'Australia']}",+61398100097,+61 3 9810 0097,1264.7106795817822
6,8W38hKfWKM4dESFrytn3Ow,the-royal-mail-on-spencer-west-melbourne,The Royal Mail on Spencer,https://s3-media1.fl.yelpcdn.com/bphoto/rbp_qqJ2F0TWNbHNIHWMwg/o.jpg,False,https://www.yelp.com/biz/the-royal-mail-on-spencer-west-melbourne?adjust_creative=SgvF6h_HqqoQUidgQLS9Tg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SgvF6h_HqqoQUidgQLS9Tg,10,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'pubs', 'title': 'Pubs'}]",4.0,"{'latitude': -37.808418, 'longitude': 144.948288}",[],$,"{'address1': '519 Spencer St', 'address2': '', 'address3': '', 'city': 'West Melbourne', 'zip_code': '3003', 'country': 'AU', 'state': 'VIC', 'display_address': ['519 Spencer St', 'West Melbourne Victoria 3003', 'Australia']}",+61393296955,+61 3 9329 6955,1977.9110528856572
7,6SiJYSroI4UyzLA0FetPcA,limerick-arms-hotel-south-melbourne,Limerick Arms Hotel,https://s3-media2.fl.yelpcdn.com/bphoto/PH5LCH7gNxqV6SeN3f3_bw/o.jpg,False,https://www.yelp.com/biz/limerick-arms-hotel-south-melbourne?adjust_creative=SgvF6h_HqqoQUidgQLS9Tg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SgvF6h_HqqoQUidgQLS9Tg,6,"[{'alias': 'restaurants', 'title': 'Restaurants'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",3.5,"{'latitude': -37.83545, 'longitude': 144.96151}",[],$$,"{'address1': '364 Clarendon St', 'address2': '', 'address3': '', 'city': 'South Melbourne', 'zip_code': '3205', 'country': 'AU', 'state': 'VIC', 'display_address': ['364 Clarendon St', 'South Melbourne Victoria 3205', 'Australia']}",+61396458666,+61 3 9645 8666,2020.2550882240134
8,6rxknRK8jXMff6o32IAvgQ,the-railway-club-hotel-port-melbourne,The Railway Club Hotel,https://s3-media2.fl.yelpcdn.com/bphoto/GPgsyF5HCoWRgZ1rGbnB4Q/o.jpg,False,https://www.yelp.com/biz/the-railway-club-hotel-port-melbourne?adjust_creative=SgvF6h_HqqoQUidgQLS9Tg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SgvF6h_HqqoQUidgQLS9Tg,14,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'steak', 'title': 'Steakhouses'}]",4.0,"{'latitude': -37.833737, 'longitude': 144.944355}",[],$$$,"{'address1': '107 Raglan St', 'address2': None, 'address3': None, 'city': 'Port Melbourne', 'zip_code': '3207', 'country': 'AU', 'state': 'VIC', 'display_address': ['107 Raglan St', 'Port Melbourne Victoria 3207', 'Australia']}",+61396451661,+61 3 9645 1661,2681.0826243643023
9,HmrhfOxKkM57ATY9BxQH_Q,the-esplanade-hotel-st-kilda-3,The Esplanade Hotel,https://s3-media2.fl.yelpcdn.com/bphoto/byU1KJae-5cxIR0cmU9_gQ/o.jpg,False,https://www.yelp.com/biz/the-esplanade-hotel-st-kilda-3?adjust_creative=SgvF6h_HqqoQUidgQLS9Tg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=SgvF6h_HqqoQUidgQLS9Tg,22,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,"{'latitude': -37.86406, 'longitude': 144.97321}",[],$$,"{'address1': '11 The Esplanade', 'address2': None, 'address3': None, 'city': 'St Kilda', 'zip_code': '3182', 'country': 'AU', 'state': 'VIC', 'display_address': ['11 The Esplanade', 'St Kilda Victoria 3182', 'Australia']}",+61395340211,+61 3 9534 0211,5179.648904899508
